geno,pot,treat,block,longest_branch_week_6,biomass,bench,edge,north_side,south_side,nod_number,mean_nod_area,Percent_harvested,lobed_nodules_raw,proportion_lobed
HM307,1,C86,1,23.5,3.13,1,1,0,0,104,0.024826923,,,
HM042,3,C86,1,19,3.43,1,0,0,0,133,0.021203008,,,
HM046,4,C86,1,27,1.94,1,0,0,0,298,0.014812081,,,
HM192,5,C86,1,21,2.53,1,1,0,0,315.1515152,0.016923077,,,
HM054,6,C86,1,23,4.02,1,0,0,0,476.6666667,0.012391608,,,
HM049,7,C86,1,24,2.68,1,0,0,0,415.1515152,0.012722628,,,
HM014,8,C86,1,24,3.66,1,0,0,0,174,0.018137931,,,
HM125,10,C86,1,22,1.25,1,0,0,0,150,0.016733333,,,
HM016,11,C86,1,25,4.36,1,0,0,0,129,0.015682171,,,
HM151,12,C86,1,26,3.15,1,0,0,0,137,0.013839416,,,
HM024,13,C86,1,20,1.4,1,1,0,0,52,0.034173077,,,
HM065,14,C86,1,19,1.35,1,0,0,0,161,0.015614907,,,
HM201,15,C86,1,31.5,3.34,1,0,0,0,312,0.016362179,,,
HM048,16,C86,1,29.5,5.05,1,0,0,0,217.9104478,0.014869863,,,
HM099,17,C86,1,19,2.4,1,1,1,0,228,0.011114035,,,
HM172,18,C86,1,17,2.14,1,1,1,0,222,0.009905405,,,
HM119,19,C86,1,28,2.59,1,1,1,0,192,0.013020833,,,
HM301,20,C86,1,19,1.7,1,1,1,0,224,0.010763393,,,
HM131,21,C86,1,17,0.64,1,0,0,0,111,0.012477477,,,
HM253,22,C86,1,26.5,2.77,1,0,0,0,89,0.03358427,,,
HM012,23,C86,1,36,2.98,1,0,0,0,232,0.017288793,,,
HM179,24,C86,1,24,1.13,1,0,0,0,92,0.02026087,,,
HM025,25,C86,1,32,4.17,1,0,0,0,300,0.017826667,,,
HM122,26,C86,1,27,4.99,1,0,0,0,245,0.021428571,,,
HM276,27,C86,1,19,1.5,1,0,0,0,118,0.0185,,,
HM178,28,C86,1,25,3.07,1,0,0,0,285.0746269,0.01404712,,,
HM260,29,C86,1,21.5,0.03,1,0,0,0,23,0.011086957,,,
HM269,30,C86,1,28,1.43,1,0,0,0,215,0.013772093,,,
HM165,31,C86,1,26,3.71,1,0,0,0,159,0.027748428,,,
HM169,32,C86,1,27,3.6,1,0,0,0,385,0.009511688,,,
HM053,33,C86,1,31,4.66,1,0,0,0,335,0.01398209,,,
HM199,34,C86,1,32,1.97,1,0,0,0,140,0.02165,,,
HM050,35,C86,1,21,1.55,1,0,0,0,109,0.022431193,,,
HM072,36,C86,1,35,4.49,1,0,0,0,174,0.015436782,,,
HM197,37,C86,1,21,3.24,1,1,1,0,475.7575758,0.007847134,,,
HM005,38,C86,1,23,2.88,1,1,1,0,142,0.030190141,,,
HM018,39,C86,1,26,3.38,1,1,1,0,124,0.029653226,,,
HM162,41,C86,1,21,1.57,1,0,0,0,181,0.007657459,,,
HM047,42,C86,1,20.5,1.93,1,0,0,0,176,0.014755682,,,
HM129,43,C86,1,26,2.26,1,0,0,0,134,0.021029851,,,
HM124,44,C86,1,33,4.59,1,0,0,0,175,0.024188571,,,
HM020,45,C86,1,37,4.22,1,0,0,0,149,0.022510067,,,
HM186,46,C86,1,39.5,5.7,1,0,0,0,NA,NA,,,
HM066,47,C86,1,34,4.72,1,0,0,0,256,0.01103125,,,
HM182,48,C86,1,19,0.45,1,0,0,0,60,0.022983333,,,
HM293,49,C86,1,25,2.61,1,0,0,0,239,0.01207113,,,
HM170,50,C86,1,20,0.59,1,0,0,0,97,0.01785567,,,
HM180,51,C86,1,25.5,1.71,1,0,0,0,229,0.015659389,,,
HM135,52,C86,1,36.5,5.78,1,0,0,0,202.9850746,0.011705882,,,
HM152,53,C86,1,27,3.5,1,0,0,0,254,0.012129921,,,
HM026,54,C86,1,32,4.26,1,0,0,0,145,0.036096552,,,
HM045,55,C86,1,45,6.34,1,0,0,0,156,0.01824359,,,
HM175,56,C86,1,29.5,4.1,1,0,0,0,429.8507463,0.013569444,,,
HM167,57,C86,1,23,4.59,1,1,1,0,337,0.01094362,,,
HM027,58,C86,1,20,0.96,1,1,1,0,178,0.015966292,,,
HM187,59,C86,1,23.5,3.43,1,1,1,0,350.7462687,0.010825532,,,
HM134,60,C86,1,31,4.76,1,1,1,0,730.3030303,0.011195021,,,
HM056,61,C86,1,28,3.84,1,0,0,0,298,0.009234899,,,
HM033,62,C86,1,25.5,1.38,1,0,0,0,97,0.01828866,,,
HM107,63,C86,1,23.5,2.73,1,0,0,0,357,0.010714286,,,
HM082,64,C86,1,23,2.21,1,0,0,0,443,0.007327314,,,
HM041,65,C86,1,28.5,2.11,1,0,0,0,168,0.020125,,,
HM057,66,C86,1,31,5.09,1,0,0,0,270,0.018440741,,,
HM013,67,C86,1,24,1.11,1,0,0,0,223,0.011986547,,,
HM316,68,C86,1,29,1.76,1,0,0,0,195,0.013861538,,,
HM021,69,C86,1,32,3.84,1,0,0,0,191,0.021429319,,,
HM087,70,C86,1,30,4.19,1,0,0,0,133,0.028007519,,,
HM195,71,C86,1,36,2.84,1,0,0,0,201,0.014054726,,,
HM164,72,C86,1,30,5.04,1,0,0,0,NA,0.020740741,,,
HM015,73,C86,1,15,0.74,1,0,0,0,63,0.021746032,,,
HM176,74,C86,1,28,3.67,1,0,0,0,335,0.010683582,,,
HM278,75,C86,1,27,2.44,1,0,0,0,222,0.012463964,,,
