Plant_genotype	Community	Pot_replicate	Size	Lobes_num	Length_mm
A17	C68	7	Small	1	1
A17	C68	7	Small	1	1
A17	C68	7	Small	1	1.25
A17	C68	7	Small	1	1.5
A17	C68	7	Small	1	1
A17	C68	7	Small	1	0.75
A17	C68	7	Small	1	1
A17	C68	7	Small	1	1.25
A17	C68	7	Small	1	1
A17	C68	7	Small	1	1
A17	C68	7	Med	1	2
A17	C68	7	Med	1	2.25
A17	C68	7	Med	1	2
A17	C68	7	Med	1	1.75
A17	C68	7	Med	1	2
A17	C68	7	Med	1	2
A17	C68	7	Med	1	1.75
A17	C68	7	Med	1	1.75
A17	C68	7	Med	1	1.5
A17	C68	7	Med	1	2
A17	C68	7	Large	2	2
A17	C68	7	Large	1	4
A17	C68	7	Large	2	4
A17	C68	7	Large	1	3.5
A17	C68	7	Large	1	4
A17	C68	7	Large	1	3
A17	C68	7	Large	1	3.25
A17	C68	7	Large	1	2.5
A17	C68	7	Large	1	2
A17	C68	7	Large	1	3.5
A17	C68	8	Small	1	0.75
A17	C68	8	Small	1	1
A17	C68	8	Small	1	1.25
A17	C68	8	Small	1	1
A17	C68	8	Small	1	1
A17	C68	8	Small	1	1
A17	C68	8	Small	1	1.25
A17	C68	8	Small	1	1
A17	C68	8	Small	1	0.75
A17	C68	8	Small	1	1.25
A17	C68	8	Med	1	1.5
A17	C68	8	Med	1	2
A17	C68	8	Med	1	1.25
A17	C68	8	Med	1	2
A17	C68	8	Med	1	2.25
A17	C68	8	Med	1	1.25
A17	C68	8	Med	1	2.5
A17	C68	8	Med	1	1.25
A17	C68	8	Med	1	1.25
A17	C68	8	Med	1	1.5
A17	C68	8	Large	1	5
A17	C68	8	Large	2	3
A17	C68	8	Large	1	3
A17	C68	8	Large	1	4
A17	C68	8	Large	1	2
A17	C68	8	Large	1	2
A17	C68	8	Large	1	4
A17	C68	8	Large	1	2.5
A17	C68	8	Large	1	2.5
A17	C68	8	Large	2	3
A17	C68	9	Small	1	0.5
A17	C68	9	Small	1	1
A17	C68	9	Small	1	1
A17	C68	9	Small	1	1
A17	C68	9	Small	1	1.25
A17	C68	9	Small	1	1
A17	C68	9	Small	1	1.25
A17	C68	9	Small	1	1
