Plant_genotype	Pot_replicate	Size	Plate	Dilution	Count	Colonies
A	7	L	c	5	47	4700000
A	7	L	b	5	60	6000000
A	8	L	c	5	78	7800000
A	8	L	b	5	76	7600000
A	9	L	c	5	73	7300000
A	9	L	a	5	17	1700000
A	9	L	b	5	15	1500000
A	10	L	c	3	323	323000
A	10	L	b	3	385	385000
A	10	L	a	3	408	408000
A	11	L	b	5	24	2400000
A	11	L	a	5	17	1700000
A	12	L	a	5	24	2400000
A	12	L	b	5	27	2700000
A	12	L	c	5	57	5700000
A	7	S	c	3	1	1000
A	7	S	b	3	14	14000
A	8	S	a	4	31	310000
A	8	S	b	4	47	470000
A	8	S	c	4	29	290000
A	9	S	b	3	340	340000
A	9	S	a	3	448	448000
A	10	S	c	3	759	759000
A	10	S	a	3	566	566000
A	11	S	a	4	194	1940000
A	11	S	b	4	188	1880000
A	11	S	c	4	215	2150000
A	12	S	a	4	8	80000
A	12	S	b	4	24	240000
A	12	S	c	4	10	100000
R	7	L	b	5	64	6400000
R	7	L	c	5	76	7600000
R	7	L	a	5	60	6000000
R	8	L	a	5	127	12700000
R	8	L	c	5	150	15000000
R	8	L	b	5	134	13400000
R	9	L	a	5	223	22300000
R	9	L	b	5	220	22000000
R	9	L	c	5	255	25500000
R	10	L	a	5	495	49500000
R	10	L	c	5	198	19800000
R	10	L	b	5	214	21400000
R	11	L	b	5	571	57100000
R	11	L	a	5	520	52000000
R	11	L	c	5	449	44900000
R	12	L	c	5	467	46700000
R	12	L	a	5	673	67300000
R	12	L	b	5	644	64400000
R	7	S	b	4	972	9720000
R	7	S	a	4	1000	10000000
R	8	S	a	4	80	800000
R	8	S	b	4	55	550000
R	8	S	c	4	64	640000
R	9	S	b	3	392	392000
R	9	S	a	3	509	509000
R	9	S	c	3	409	409000
R	10	S	a	4	43	430000
R	10	S	b	4	45	450000
R	10	S	c	4	38	380000
R	11	S	a	4	62	620000
R	11	S	b	4	52	520000
R	11	S	c	4	51	510000
R	12	S	a	4	86	860000
R	12	S	b	4	75	750000
R	12	S	c	4	87	870000
