pot_or_sample,host_genotype,MAG746A,MAG215,MAG243A,MAG221,MAG420,MAG201,MAG539,MAG199,MAG242,MAG230,MAG177,MAG204,MAG33,MAG182,MAG749B,MAG286,MAG24,MAG18,MAG176B,MAG16,MAG313,MAG21,MAG191,MAG157,MAG192D,MAG154,MAG27,MAG121,MAG540,MAG248,MAG88,MAG245,MAG258,MAG220,MAG278,MAG282,MAG10,MAG146,MAG144B,MAG123,MAG714A,MAG259,MAG533,MAG62,MAG225,MAG722B,MAG148B,MAG358,MAG184,MAG169,MAG761A,MAG158B,MAG320,MAG322,MAG325,MAG384,MAG34,MAG406,MAG342,MAG373,MAG386,MAG40,MAG41,MAG417,MAG42,MAG145,MAG48,MAG5,MAG513,MAG31,MAG514,MAG523,MAG530,MAG65,MAG66,MAG701B,MAG200,MAG726A,MAG726B,MAG73,MAG733A,MAG739A,MAG746B,MAG748A,MAG749C,MAG755A,MAG183,MAG97
initial_1,initial,0.00860954,0.00671593,0.0174858,0.0160769,0.0094385,0.00775833,0.0122824,0.0132547,0.0105877,0.0102275,0.0111053,0.00801325,0.00936394,0.010873,0.00920761,0.0134655,0.00867948,0.0223221,0.0128447,0.0097463,0.0126112,0.010271,0.0114321,0.0117928,0.0134666,0.00886278,0.0161274,0.0105695,0.0104131,0.01227,0.00861587,0.0132316,0.00837916,0.00881563,0.019156,0.0185249,0.0113417,0.0086841,0.00997232,0.0107192,0.00814446,0.00908978,0.010769,0.0109753,0.0150957,0.0127274,0.00828023,0.0101153,0.0125805,0.0121159,0.00989698,0.0129243,0.0120417,0.0145384,0.0112052,0.0101743,0.00798873,0.0108352,0.0148822,0.0134247,0.0133472,0.0109223,0.0189017,0.00859154,0.00802439,0.00911382,0.00919271,0.0153636,0.00712788,0.00971681,0.0103658,0.0107032,0.0103382,0.00730611,0.0161513,0.0117997,0.00955577,0.00967302,0.00948209,0.0100071,0.0151356,0.00999966,0.00859968,0.00968503,0.0154918,0.0147663,0.00823339,0.0112837
initial_2,initial,0.00889115,0.00693735,0.017339,0.0160805,0.00990155,0.00798139,0.0116919,0.0126974,0.011472,0.00984902,0.0116041,0.00722709,0.00887503,0.0116804,0.00885097,0.012388,0.00828052,0.0207836,0.0124024,0.00998798,0.0124888,0.0107252,0.0114714,0.0118348,0.0133301,0.00887388,0.0160058,0.0103803,0.0101758,0.0120725,0.00868491,0.013712,0.00814331,0.00936817,0.0186072,0.0175432,0.0116329,0.00873073,0.0101531,0.0110545,0.00810919,0.00870183,0.0108298,0.0110342,0.0153247,0.0130602,0.00825396,0.0105231,0.0129271,0.0114873,0.00983759,0.0132114,0.0122434,0.0149955,0.0110934,0.0102621,0.00773078,0.0110886,0.0159686,0.0137297,0.0139159,0.0104186,0.0191255,0.00887753,0.00825753,0.00881659,0.0094678,0.015404,0.00725256,0.00955135,0.0110325,0.0111902,0.0108546,0.00720164,0.0159078,0.0107549,0.00984305,0.00971907,0.00923432,0.0100108,0.0154311,0.0100079,0.00875506,0.00968479,0.0152627,0.0145209,0.00806622,0.0111127
initial_3,initial,0.00870181,0.0075076,0.0172442,0.014694,0.00945886,0.00791689,0.0122256,0.0125461,0.0103592,0.00982079,0.0117207,0.00766498,0.00912129,0.0117151,0.00903449,0.0131185,0.00868205,0.0222964,0.0128855,0.009895,0.0116049,0.010435,0.0114554,0.0117219,0.0134638,0.00868317,0.0158752,0.0102371,0.00982255,0.0124529,0.00903911,0.0140061,0.00813232,0.00905618,0.019018,0.0174119,0.0105505,0.00832716,0.0100514,0.0111361,0.00815766,0.00957174,0.0109886,0.0109813,0.0158848,0.0130738,0.00795533,0.0108616,0.0128674,0.0113236,0.00985941,0.0140128,0.012101,0.0140878,0.0112266,0.0101115,0.0075392,0.0116007,0.0152123,0.0138285,0.0137858,0.0106085,0.0196579,0.00883925,0.0083978,0.00927099,0.00928532,0.0150147,0.00709965,0.00876181,0.0105577,0.0109836,0.0101174,0.00756781,0.015816,0.0113275,0.010308,0.00925728,0.0101652,0.010152,0.0151587,0.0102171,0.00810802,0.00956948,0.0162756,0.0143637,0.00810055,0.0108974
initial_4,initial,0.00900137,0.00693808,0.0174432,0.016347,0.0100101,0.00803505,0.0118251,0.0131429,0.0102433,0.00980436,0.0109364,0.0075063,0.00877215,0.0112688,0.00977979,0.0136699,0.00829718,0.0201146,0.0127531,0.0103221,0.0117745,0.0102799,0.0107178,0.0121253,0.0136944,0.00871046,0.0150825,0.0104206,0.0101829,0.0124117,0.00862385,0.0133172,0.007724,0.00947994,0.0183578,0.0181076,0.0105359,0.00902563,0.0102428,0.0112347,0.00841441,0.00922772,0.0112719,0.0108172,0.0158963,0.0132711,0.00830593,0.0110698,0.0124177,0.0116229,0.0104769,0.0134199,0.0118733,0.0147397,0.0112077,0.0104887,0.00804753,0.0113546,0.0165072,0.0128035,0.0140653,0.0108838,0.0202711,0.00878259,0.00821009,0.00889777,0.00891047,0.0155723,0.00732105,0.00885785,0.0111083,0.010494,0.0101487,0.00724108,0.0158717,0.0109983,0.0101585,0.00974959,0.00914952,0.0099693,0.0147166,0.0106993,0.00884432,0.00898929,0.015396,0.0143822,0.00794267,0.0108741
1,HM307,0.00846803,0.00274601,0.0123845,0.000237973,0.0196616,0.00797973,0.000909563,0.0378704,0.00328644,0.00298027,0.00832475,0.00709021,0,0.00105193,0.0832276,0.0018505,0.00155218,0.00901292,0.0132752,0.000930496,0.00113355,0.00183772,0.0014164,0.0102379,0.00181725,0.0033425,0,0,0.00437559,0.0100061,0.00655487,0.0199628,0.0125088,0.00651947,0.0289938,0.00276208,0.000832792,0.00258873,0.00722022,0.00457178,0.0251926,0.00193514,0.0159458,0.0165392,0.00214237,0.0766624,0.0181437,0.000719377,0.00383096,0.00131353,0.0128748,0.00361679,0.0368917,0.0101745,0.0076532,0.000156249,0.00550044,0.010365,0.0025317,0.0251247,0.00518038,0.00587863,0.0121569,0.000414357,0.00704644,0.00114155,0.010609,0.00209094,0.0140342,0.0109124,0.0190593,0.000960371,0.000182586,0.000153086,0.00204248,0.0780255,0.000954581,0.017959,0.0311236,0.000868644,0.0146284,0.0639545,0.0280059,0.00723228,0.0223483,0.00439398,0.0104932,0.00131247
2,HM022,0.00716397,0.00590174,0.00886979,0.00162843,0.00393896,0.0100102,0.00606996,0.0375887,0.00346783,0.0061794,0.0204117,0.00415025,0.017023,0.00511985,0.0149207,0.00521557,0.00484445,0.00608933,0.019514,0.0051055,0.0158209,0.00509406,0.00976523,0.00702574,0.02445,0.0230555,0,0.000677141,0.00560323,0.00269335,0.0118417,0.00845525,0.00445408,0.0229362,0.0480691,0.00503135,0.00300193,0.0587542,0.00996307,0.017763,0.00447856,0.00547099,0.00412254,0.00863883,0.00479334,0.00882887,0.0379754,0.0389524,0.00848894,0.00972266,0.00968739,0.00605679,0.00761839,0.000967433,0.00934727,0.0013761,0.00875588,0.00630781,0.00563964,0.0118607,0.00952725,0.0105842,0.0201466,0.000858156,0.015327,0.00381667,0.00731942,0.0300102,0.00433889,0.00732866,0.00835536,0.00953755,0.00137526,0.0234627,0.00666878,0.00700527,0.00681298,0.00560686,0.0039402,0.0106365,0.00602358,0.048496,0.00546601,0.00589922,0.0256018,0.0278781,0.00500154,0.00621667
3,HM042,0.0104668,0.00941619,0.00906151,0.00391474,0.0103695,0.00655399,0.0160702,0.0773804,0.00492007,0.00509618,0.00921673,0.00380895,0.00165222,0.0130438,0.00815892,0.0160279,0.0137669,0.00236797,0.021048,0.00798313,0.0145866,0.00306188,0.00676295,0.0371379,0.0138737,0.00548564,0.00976378,0.00546812,0.00417835,0.0172459,0.00615034,0.0100375,0.00992728,0.0027925,0.0179831,0.00813825,0.00207285,0.00399541,0.00956823,0.00983358,0.0117253,0.00418546,0.00761536,0.00711554,0.00527833,0.0200915,0.00162865,0.00920497,0.0080387,0.0172869,0.0107709,0.00454485,0.0144463,0.0185701,0.00909448,0.000885262,0.00828218,0.00488499,0.0127171,0.0210053,0.0138437,0.0235338,0.0100066,0.0246065,0.00826099,0.00504835,0.00447593,0.0113918,0.00817078,0.00889303,0.0148889,0.004211,0.000956768,0.00558804,0.00341466,0.01771,0.0142433,0.00854439,0.0356768,0.00495178,0.0077756,0.0326982,0.00773924,0.00694019,0.0297174,0.0252498,0.00453491,0.0111672
4,HM046,0.0085353,0.0520215,0.00460091,0.000439882,0.00689937,0.0116903,0.00318122,0.0213112,0.00267344,0.00531936,0.00888529,0.00872742,0.000387824,0.00258106,0.00406879,0.00258385,0.00169053,0.0106537,0.0260994,0.00291135,0.00444124,0.00315509,0.0040547,0.0104068,0.00300741,0.00875852,0,0.000939698,0.00387646,0.00151633,0.011489,0.00626752,0.00688272,0.00999528,0.0148767,0.00514751,0.001614,0.0128505,0.00549484,0.0184213,0.00852256,0.00425024,0.010437,0.00532295,0.00361472,0.0394109,0.00248471,0.00454146,0.0506108,0.00734362,0.014953,0.00279478,0.00675861,0.103917,0.00402313,0.000242158,0.0119128,0.0190249,0.0141025,0.0114133,0.00734231,0.0508832,0.0144643,0.041979,0.0110661,0.0032711,0.0475234,0.00301413,0.00660917,0.0276653,0.0116728,0.0107618,0.000258009,0.00117577,0.0156773,0.0070393,0.00257386,0.00671685,0.00834122,0.0138739,0.00373964,0.0222316,0.0054016,0.00607071,0.00568025,0.0107453,0.00358176,0.00650205
5,HM192,0.00791375,0.024488,0.0416513,0.00143503,0.0104605,0.0193542,0.00166307,0.0404334,0.00132867,0.00386336,0.00210838,0.0025691,0.00794959,0.00862945,0.016952,0.00140007,0.00340548,0.00123663,0.00863626,0.00153474,0.00144229,0.00230604,0.00159843,0.0123641,0.00210096,0.00407568,0.00415719,0.000387967,0.0039679,0.00143016,0.019666,0.00482414,0.0178703,0.0367325,0.0424226,0.00282,0.00112169,0.00544511,0.012806,0.0156103,0.0159115,0.00315185,0.00812465,0.00755433,0.00347172,0.0279617,0.031848,0.00162307,0.0119788,0.0016809,0.0234073,0.0158814,0.0168734,0.00746037,0.00718449,0.00115858,0.0201014,0.0319278,0.00338601,0.0302641,0.00631279,0.0131587,0.00965975,0.00919208,0.0172716,0.00138771,0.00530262,0.00208447,0.00844905,0.000917446,0.0101051,0.00832343,0.00112562,0.011331,0.00255044,0.0327775,0.00459515,0.0133028,0.0275854,0.00552405,0.0057787,0.097274,0.00237951,0.0043477,0.0163238,0.0045937,0.00572054,0.00151153
6,HM054,0.0142224,0.00361856,0.0081745,0.00252653,0.00997686,0.0206149,0.00519709,0.02631,0.00429824,0.00511961,0.017381,0.00330741,0.00317618,0.00772809,0.00640792,0.00274474,0.00386457,0.00969598,0.023084,0.00301918,0.00767204,0.00262927,0.0137622,0.0348387,0.0039376,0.00485802,0.00246865,0.00929456,0.00333307,0.0098292,0.018841,0.00562672,0.00978333,0.0201366,0.0121691,0.00443468,0.00213533,0.0344216,0.00648807,0.00888408,0.00806809,0.0040422,0.00841208,0.00787269,0.00416609,0.0193348,0.00969383,0.00455374,0.0057518,0.00815364,0.0154568,0.00342944,0.0159528,0.0410733,0.00996657,0.00571166,0.0196687,0.0106578,0.00684652,0.0161998,0.00852438,0.0248326,0.0397888,0.00303473,0.0228472,0.00225899,0.051617,0.00584305,0.00788698,0.00600766,0.0143661,0.00549905,0.00555712,0.0135277,0.00471655,0.0135102,0.00694349,0.0080555,0.0137857,0.00624062,0.00586644,0.0340554,0.00893987,0.00823283,0.0153033,0.0280425,0.00313641,0.0105558
