Plant_genotype	Community	Pot_replicate	Harvest_date	Person	Size	Nodule_number	Nodule_weight_g
A17	C68	7	4/2/18	BE	Small	140	0.02
A17	C68	8	4/2/18	BE	Small	135	0.018
A17	C68	9	4/2/18	LTB	Small	150	0.008
A17	C68	10	4/2/18	MH	Small	200	0.0118
A17	C68	11	4/2/18	LTB	Small	150	0.036
A17	C68	12	4/2/18	DIT	Small	150	0.038
R108	C68	7	4/2/18	MH	Small	120	0.045
R108	C68	8	4/2/18	BE	Small	86	0.09
R108	C68	9	4/2/18	MH	Small	43	0.038
R108	C68	10	4/2/18	DIT	Small	100	0.088
R108	C68	11	4/2/18	DIT	Small	60	0.027
R108	C68	12	4/2/18	MH	Small	56	0.041
A17	C68	7	4/2/18	BE	Medium	140	0.078
A17	C68	8	4/2/18	BE	Medium	135	0.065
A17	C68	9	4/2/18	LTB	Medium	206	0.1
A17	C68	10	4/2/18	MH	Medium	400	0.103
A17	C68	11	4/2/18	LTB	Medium	150	0.166
A17	C68	12	4/2/18	DIT	Medium	126	0.064
R108	C68	7	4/2/18	MH	Medium	120	0.233
R108	C68	8	4/2/18	BE	Medium	86	0.222
R108	C68	9	4/2/18	MH	Medium	43	0.127
R108	C68	10	4/2/18	DIT	Medium	100	0.289
R108	C68	11	4/2/18	DIT	Medium	60	0.104
R108	C68	12	4/2/18	MH	Medium	56	0.077
A17	C68	7	4/2/18	BE	Large	140	0.149
A17	C68	8	4/2/18	BE	Large	135	0.125
A17	C68	9	4/2/18	LTB	Large	150	0.146
A17	C68	10	4/2/18	MH	Large	200	0.122
A17	C68	11	4/2/18	LTB	Large	150	0.28
A17	C68	12	4/2/18	DIT	Large	150	0.16
R108	C68	7	4/2/18	MH	Large	50	0.427
R108	C68	8	4/2/18	BE	Large	50	0.533
R108	C68	9	4/2/18	MH	Large	40	0.406
R108	C68	10	4/2/18	DIT	Large	50	0.476
R108	C68	11	4/2/18	DIT	Large	50	0.434
R108	C68	12	4/2/18	MH	Large	50	0.453
